# id        Nep   period     totamp   A1      A2      A3      phi1     phi2     phi3     phi21     phi31    meanmag   cost     costN          aper   phcov   phcov2   snr         Npt   order   minmax   Imean_ogle   Vmean_ogle   VmI
  smc1884   495   0.269715   0.149    0.057   0.008   0.002   -0.112   -0.291   -2.938   6.2163    9.9648   19.52     1.314    0.0026545455   1      0.988   0.988    35.1        495   3       0.597    19.51        19.924       0.40399933  
  smc1905   497   0.347995   0.318    0.155   0.026   0.012   0.0      -2.966   -0.285   9.6002    5.9978   19.338    0.7847   0.0015788731   1      0.989   0.987    107.3       497   4       0.621    19.324       19.777       0.43900108  
  smc1908   483   0.362752   0.348    0.167   0.036   0.011   -0.009   -3.12    0.069    9.4641    6.3781   19.252    0.6785   0.0014047619   1      0.979   0.988    124.2       483   4       0.59     19.239       19.759       0.50699997  
  smc1921   479   0.364378   0.316    0.142   0.018   0.003   0.004    -3.007   1.554    9.5507    7.8245   19.214    0.8247   0.001721712    1      0.989   0.988    99.6        479   3       0.622    19.203       19.707       0.49300003  
  smc1924   483   0.353053   0.302    0.151   0.021   0.002   -0.001   -2.841   1.026    9.7281    7.3134   19.361    0.8879   0.0018383022   1      0.99    0.986    87.3        483   3       0.793    19.349       19.797       0.43600082  
  smc1931   498   0.358964   0.249    0.124   0.024   0.01    0.001    -3.013   0.527    9.5516    6.8082   19.295    0.867    0.0017409638   1      0.987   0.987    78.7        498   3       0.611    19.285       19.797       0.5020008   
  smc1943   142   0.312466   0.387    0.148   0.032   0.036   0.092    2.633    0.142    8.7316    6.1495   19.739    0.465    0.003274648    1      0.962   0.966    41.8        142   4       0.877    19.707       20.048       0.30900002  
  smc1944   498   0.345805   0.247    0.125   0.008   0.004   -0.008   -1.694   0.816    10.889    7.1245   19.5      1.2596   0.0025293173   1      0.99    0.984    57.7        498   3       0.769    19.48        19.883       0.38299942  
  smc1949   483   0.361533   0.282    0.139   0.023   0.013   -0.005   -2.979   -0.432   9.5966    5.8661   18.997    0.5453   0.0011289855   1      0.987   0.983    111.8       483   3       0.634    18.99        19.483       0.48600006  
  smc1957   454   0.34798    0.373    0.184   0.039   0.032   -0.022   -3.096   -0.671   9.514     5.6785   19.734    1.3608   0.002997357    1      0.981   0.986    72.9        454   5       0.997    19.708       20.312       0.578001    
  smc1960   484   0.376032   0.294    0.143   0.028   0.013   0.001    -2.75    0.446    9.8151    6.727    19.015    0.5548   0.0011462809   1      0.987   0.986    121.6       484   3       0.587    19.006       19.483       0.4680004   
  smc1961   493   0.347147   0.393    0.183   0.031   0.01    0.011    -3.094   0.203    9.4515    6.4547   19.041    0.5253   0.0010655173   1      0.983   0.988    172.8       493   3       0.586    19.027       19.334       0.29299927  
  smc1971   485   0.36568    0.252    0.129   0.014   0.006   -0.026   -2.766   -0.686   9.8532    5.6764   19.451    1.1454   0.0023616496   1      0.986   0.988    62.0        485   3       0.732    19.434       19.936       0.4850006   
  smc1973   485   0.343381   0.359    0.174   0.037   0.019   -0.022   -3.105   -0.589   9.5056    5.7599   19.168    0.6369   0.0013131959   1      0.986   0.985    134.0       485   3       0.61     19.154       19.609       0.44099998  
  smc1998   496   0.310854   0.26     0.124   0.017   0.009   0.036    -2.327   0.803    10.1675   6.9785   19.203    0.9542   0.0019237904   1      0.987   0.988    76.0        496   3       0.652    19.194       19.517       0.31400108  
  smc2001   253   0.376374   0.292    0.149   0.014   0.012   0.044    -1.167   0.48     5.0279    6.631    19.074    0.3285   0.001298419    1      0.974   0.973    79.1        253   5       0.525    19.065       19.538       0.4640007   
  smc2006   488   0.355361   0.305    0.151   0.025   0.008   -0.015   -2.945   0.524    9.6518    6.8526   19.26     0.781    0.0016004099   1      0.985   0.984    98.3        488   4       0.829    19.246       19.703       0.4429989   
  smc2008   400   0.304786   0.283    0.142   0.02    0.014   -0.018   3.141    0.562    9.4607    6.8988   19.447    0.754    0.001885       1      0.986   0.986    76.5        400   3       0.575    19.435       19.912       0.46500015  
  smc2024   493   0.282994   0.221    0.104   0.019   0.001   -0.005   2.922    0.963    9.2144    7.2607   19.137    0.6545   0.0013275862   1      0.983   0.985    83.5        493   3       0.473    19.125       19.435       0.29800034  
  smc2033   304   0.362548   0.283    0.142   0.022   0.013   0.029    -2.759   -0.116   9.7491    6.0804   19.119    0.4233   0.0013924342   1      0.981   0.98     80.5        304   4       0.521    19.109       19.458       0.3390007   
  smc2044   479   0.390088   0.25     0.111   0.016   0.005   0.003    -2.21    2.687    10.3499   8.9602   19.336    1.0349   0.0021605426   1      0.987   0.987    67.0        479   3       0.636    19.321       19.823       0.4869995   
  smc2046   83    0.37125    0.318    0.148   0.028   0.04    0.027    -2.952   0.975    9.5597    7.1762   19.047    0.0942   0.0011349397   1      0.954   0.942    59.1        83    3       0.465    19.037       ""           ""          
  smc2061   493   0.310606   0.36     0.168   0.04    0.021   0.0      -3.06    -0.642   9.5058    5.6407   19.435    0.9316   0.0018896551   1      0.982   0.984    107.1       493   4       0.689    19.419       19.888       0.45300102  
  smc2062   487   0.375809   0.256    0.125   0.023   0.019   -0.022   -2.513   0.731    10.0965   7.0795   19.117    0.7304   0.0014997947   1      0.988   0.989    89.0        487   3       0.555    19.104       19.525       0.40799904  
  smc2073   480   0.410055   0.307    0.146   0.025   0.003   0.038    -2.649   0.689    9.8402    6.8568   19.062    0.6352   0.0013233334   1      0.989   0.986    109.9       480   3       0.642    19.049       19.507       0.4449997   
  smc2077   58    0.310498   0.404    0.112   0.043   0.041   0.096    -1.822   2.965    10.5523   8.9597   19.219    0.0806   0.0013896552   1      0.893   0.911    57.4        58    3       0.397    19.196       ""           ""          
  smc2078   486   0.283232   0.266    0.122   0.04    0.008   -0.021   2.799    -2.008   9.1241    4.3379   19.466    1.2751   0.0026236626   1      0.989   0.986    60.9        486   3       0.716    19.449       19.954       0.48800087  
  smc2082   272   0.282467   0.195    0.084   0.007   0.013   -0.02    1.618    -0.623   7.9426    5.7218   19.378    0.4909   0.0018047794   1      0.982   0.974    46.4        272   3       0.447    19.371       19.78        0.40200043  
  smc2088   432   0.34258    0.37     0.174   0.041   0.009   0.014    2.779    -0.483   9.0332    5.7574   18.922    0.9021   0.0020881945   1      0.986   0.981    98.0        432   3       0.664    18.909       19.3         0.37799835  
  smc2098   479   0.35216    0.325    0.16    0.028   0.011   -0.016   -2.999   0.279    9.6005    6.611    19.243    0.7516   0.0015691024   1      0.982   0.986    108.0       479   5       0.634    19.229       19.666       0.42300034  
  smc2110   484   0.31946    0.365    0.166   0.039   0.014   -0.021   -3.085   0.18     9.523     6.5254   19.4      0.9758   0.0020161157   1      0.989   0.989    103.3       484   3       0.764    19.387       19.908       0.5080013   
  smc2116   477   0.298106   0.153    0.072   0.009   0.009   0.068    3.099    -0.258   9.2454    5.8203   19.305    0.9069   0.0019012578   1      0.987   0.987    44.9        477   3       0.613    19.29        19.636       0.33099937  
  smc2133   239   0.351223   0.366    0.155   0.049   0.024   -0.051   3.141    -0.055   9.5256    6.3812   19.123    0.3389   0.0014179916   1      0.977   0.973    93.1        239   3       0.552    19.098       19.586       0.46300125  
  smc2140   492   0.313345   0.24     0.112   0.01    0.011   -0.022   2.536    0.738    8.8631    7.0863   19.06     0.6082   0.0012361789   1      0.987   0.985    97.2        492   3       0.494    19.049       19.544       0.48400116  
  smc2141   480   0.298859   0.243    0.12    0.018   0.003   0.03     -3.087   0.442    9.4184    6.634    19.497    1.0191   0.002123125    1      0.985   0.985    65.7        480   3       0.661    19.487       19.971       0.47400093  
  smc2164   213   0.339159   0.33     0.129   0.016   0.011   -0.001   -1.26    -0.67    5.0241    5.6151   19.631    0.4677   0.0021957746   1      0.975   0.968    55.9        213   5       0.713    19.606       20.272       0.64099884  
  smc2192   497   0.31853    0.23     0.121   0.002   0.006   0.051    -2.33    0.468    10.1339   6.5972   19.369    0.9295   0.0018702213   1      0.988   0.988    67.6        497   3       0.679    19.355       19.782       0.4130001   
  smc2197   414   0.35623    0.276    0.137   0.017   0.002   -0.063   -2.78    -0.639   9.9129    5.8329   19.319    0.8237   0.0019896135   1      0.989   0.987    71.2        414   3       0.639    19.307       19.824       0.50499916  
  smc2206   489   0.303151   0.246    0.124   0.022   0.011   -0.01    2.967    -0.166   9.271     6.1477   19.213    0.7613   0.0015568507   1      0.987   0.988    84.5        489   3       0.593    19.202       19.653       0.44000053  
  smc2209   482   0.321992   0.385    0.182   0.046   0.018   -0.043   -2.926   -0.405   9.7266    6.0081   19.649    1.3431   0.0027865143   1      0.987   0.977    85.2        482   3       0.905    19.625       20.201       0.55200005  
  smc2222   488   0.328152   0.223    0.118   0.007   0.012   0.011    2.923    0.838    9.1847    7.0896   19.45     0.9564   0.001959836    1      0.98    0.985    63.7        488   3       0.649    19.435       19.924       0.47399902  
  smc2229   484   0.378888   0.264    0.127   0.032   0.008   0.006    -2.895   -0.316   9.6584    5.9484   19.031    0.6096   0.0012595041   1      0.983   0.989    102.6       484   3       0.543    19.023       19.608       0.57699966  
  smc2234   484   0.357919   0.331    0.16    0.025   0.023   -0.028   -2.941   0.35     9.6809    6.7156   19.153    0.6773   0.0013993802   1      0.988   0.987    119.4       484   3       0.573    19.136       19.598       0.4449997   
  smc2240   487   0.342957   0.307    0.155   0.028   0.018   0.035    3.014    -0.143   9.2279    6.0364   19.173    0.6537   0.0013422997   1      0.985   0.984    114.4       487   4       0.546    19.161       19.6         0.42700005  
  smc2256   482   0.353201   0.344    0.158   0.037   0.008   0.025    -3.042   0.97     9.4755    7.179    19.46     1.2371   0.0025665974   1      0.989   0.98     79.2        482   3       0.764    19.441       19.954       0.4940014   
  smc2265   487   0.357717   0.263    0.132   0.012   0.017   0.037    2.967    0.342    9.1759    6.5129   19.204    0.7813   0.0016043121   1      0.987   0.989    87.1        487   3       0.565    19.196       19.698       0.49399948  
  smc2266   395   0.317464   0.256    0.131   0.012   0.005   -0.013   2.962    0.467    9.2701    6.7873   19.091    0.4966   0.0012572152   1      0.987   0.984    91.3        395   3       0.502    19.081       19.478       0.38700104  
  smc2276   488   0.333596   0.392    0.17    0.05    0.008   -0.011   2.825    -1.421   9.1306    4.8959   18.824    0.496    0.0010163934   1      0.99    0.988    178.7       488   4       0.561    18.813       19.193       0.3690014   
  smc2284   438   0.392782   0.247    0.122   0.028   0.002   0.07     -2.689   -1.027   9.7362    5.0449   19.22     0.7      0.0015981735   1      0.987   0.982    78.0        438   4       0.527    19.212       19.818       0.5980015   
  smc2292   485   0.330739   0.266    0.12    0.016   0.01    0.008    3.113    1.635    9.3797    7.8933   19.503    1.0836   0.0022342268   1      0.987   0.985    71.0        485   4       0.719    19.484       20.105       0.6019993   
  smc2309   480   0.363844   0.264    0.126   0.026   0.012   -0.017   -3.042   0.653    9.5587    6.9868   19.204    0.6675   0.001390625    1      0.987   0.984    95.6        480   4       0.52     19.196       19.707       0.50300026  
  smc2330   18    0.297611   0.339    0.129   0.047   0.035   0.05     0.096    2.831    6.2797    8.9645   19.55     0.0317   0.0017611111   1      0.814   0.767    18.6        18    3       0.471    19.531       ""           ""          
  smc2344   174   0.331685   0.386    0.184   0.04    0.02    0.021    -3.129   -0.28    9.3956    5.941    19.241    0.3294   0.0018931035   1      0.964   0.968    70.2        174   3       0.662    19.22        19.853       0.6120014   
  smc2345   465   0.357117   0.351    0.155   0.038   0.032   0.008    2.951    0.042    9.2173    6.2999   19.453    0.8408   0.001808172    1      0.986   0.985    103.3       465   3       0.673    19.437       19.942       0.48900032  
  smc2363   479   0.419073   0.224    0.101   0.004   0.005   -0.032   -3.119   3.125    9.5124    9.5056   19.026    0.7881   0.0016453027   1      0.985   0.989    70.7        479   4       0.458    19.009       19.498       0.47200012  
  smc2368   58    0.383026   0.315    0.152   0.03    0.001   0.022    -1.384   0.955    4.8547    7.1707   18.9      0.0853   0.0014706897   1      0.918   0.896    40.3        58    3       0.548    18.888       ""           ""          
  smc2369   481   0.318361   0.209    0.088   0.017   0.007   -0.012   2.454    -1.868   8.7615    4.4525   18.869    0.7656   0.0015916841   1      0.987   0.986    72.6        481   3       0.459    18.861       19.237       0.36800003  
  smc2382   480   0.379782   0.269    0.131   0.016   0.005   -0.012   -2.623   0.851    9.967     7.1695   19.193    0.7165   0.0014927083   1      0.987   0.986    91.3        480   3       0.594    19.181       19.754       0.5609989   
  smc2404   490   0.313036   0.272    0.132   0.022   0.014   0.013    3.026    0.345    9.2824    6.5879   19.436    0.9246   0.0018869388   1      0.984   0.988    79.7        490   3       0.667    19.419       19.871       0.43499947  
  smc2407   488   0.360225   0.27     0.136   0.016   0.012   0.016    -2.972   0.653    9.5628    6.8892   18.997    0.627    0.001284836    1      0.989   0.99     103.5       488   3       0.582    18.988       19.431       0.43400002  
  smc2428   451   0.316328   0.199    0.095   0.009   0.003   0.002    -2.985   0.688    9.5775    6.9648   12.899    0.0554   1.2283813E-4   1      0.985   0.988    273.3       451   4       0.26     12.897       13.252       0.3529997   
  smc2438   487   0.386399   0.216    0.098   0.007   0.012   0.03     1.478    2.5      7.7014    8.6938   19.199    0.677    0.0013901438   1      0.989   0.988    78.9        487   3       0.519    19.189       19.627       0.4280014   
  smc2442   477   0.339362   0.371    0.171   0.039   0.036   -0.026   2.907    -0.748   9.2419    5.6131   19.446    0.9298   0.0019492662   1      0.986   0.987    103.9       477   4       0.724    19.424       19.95        0.5040016   
  smc2444   485   0.362056   0.26     0.138   0.02    0.017   -0.004   -2.634   0.092    9.9399    6.3868   18.965    0.5375   0.0011082474   1      0.988   0.985    108.5       485   4       0.523    18.955       19.437       0.47200012  
  smc2448   374   0.299787   0.359    0.17    0.046   0.014   -0.006   2.995    -0.816   9.2897    5.4845   19.156    0.4688   0.0012534759   1      0.987   0.981    120.9       374   4       0.581    19.138       19.499       0.3430004   
  smc2456   432   0.38619    0.279    0.133   0.024   0.01    0.012    3.021    0.727    9.2795    6.9733   18.791    0.4131   9.5625E-4      1      0.989   0.986    122.5       432   3       0.435    18.785       19.273       0.48200035  
  smc2468   107   0.304841   0.264    0.068   0.042   0.022   -0.049   2.937    -1.81    9.3186    4.6206   19.276    0.1637   0.0015299065   1      0.952   0.952    46.5        107   5       0.459    19.269       ""           ""          
  smc2469   437   0.347274   0.32     0.143   0.029   0.013   -0.116   2.928    0.631    9.4438    7.2629   18.836    0.7395   0.0016922196   1      0.982   0.984    93.6        437   3       0.585    18.818       19.238       0.40200043  
  smc2471   433   0.410623   0.29     0.139   0.025   0.006   0.003    -2.645   0.097    9.9148    6.3696   18.88     0.3937   9.092379E-4    1      0.985   0.988    132.7       433   3       0.488    18.87        19.413       0.53300095  
  smc2478   161   0.34724    0.254    0.131   0.015   0.015   -0.031   -2.935   0.522    9.6925    6.8973   15.058    0.0676   4.1987575E-4   1      0.973   0.968    102.3       161   5       0.307    15.057       15.553       0.49500084  
  smc2480   164   0.35254    0.244    0.119   0.008   0.006   -0.022   2.853    1.312    9.1798    7.6599   14.879    0.0528   3.2195123E-4   1      0.962   0.963    123.7       164   3       0.317    14.874       15.668       0.7890005   
  smc2484   150   0.279432   0.295    0.14    0.022   0.006   0.007    3.071    0.036    9.3409    6.2981   14.587    0.0179   1.1933333E-4   1      0.967   0.965    257.7       150   3       0.367    14.583       14.953       0.36600018  
  smc2495   184   0.28777    0.32     0.157   0.039   0.013   -0.003   -3.122   -0.217   9.4507    6.0753   16.126    0.0373   2.027174E-4    1      0.974   0.973    221.5       184   5       0.399    16.117       16.495       0.3690014   
  smc2514   158   0.350858   0.272    0.125   0.013   0.011   0.023    -2.416   1.328    10.1041   7.5429   18.336    0.1137   7.1962026E-4   1      0.971   0.955    90.0        158   3       0.366    18.33        18.832       0.4960003   
  smc2516   139   0.41971    0.264    0.111   0.02    0.016   -0.074   -2.422   2.975    10.2927   9.4807   18.552    0.2345   0.0016870504   1      0.96    0.958    45.7        139   5       0.537    18.524       18.958       0.40600014  
  smc2517   148   0.391051   0.259    0.105   0.012   0.027   -0.296   -0.199   2.486    6.6766    9.6586   14.521    0.2591   0.0017506756   1      0.97    0.968    43.2        148   3       0.395    14.511       14.97        0.44900036  
  smc2523   180   0.380023   0.227    0.108   0.007   0.004   -0.015   -2.906   0.629    9.6912    6.9588   14.744    0.0929   5.161111E-4    1      0.965   0.971    90.6        180   3       0.312    14.74        15.156       0.4119997   
  smc2524   186   0.312175   0.388    0.189   0.038   0.029   -0.006   2.813    -0.128   9.1091    6.174    19.269    0.3817   0.0020521507   1      0.954   0.961    69.9        186   3       0.633    19.24        19.641       0.37200165  
  smc2527   135   0.284828   0.313    0.149   0.035   0.014   0.002    -3.07    -0.132   9.4921    6.1455   16.033    0.06     4.4444442E-4   1      0.97    0.953    123.6       135   3       0.418    16.027       16.564       0.53099823  
  smc2529   184   0.349955   0.342    0.167   0.039   0.016   -0.01    3.061    -0.676   9.365     5.6381   15.029    0.0492   2.673913E-4    1      0.97    0.968    184.0       184   4       0.405    15.024       15.397       0.36800003  
  smc2533   182   0.347781   0.24     0.125   0.014   0.011   -0.0     -2.911   0.32     9.656     6.6043   15.069    0.0249   1.3681319E-4   1      0.97    0.966    197.1       182   3       0.321    15.065       15.558       0.48899937  
  smc2535   159   0.353023   0.307    0.138   0.035   0.011   -0.05    2.674    -0.081   9.0574    6.3523   19.014    0.2286   0.0014377359   1      0.962   0.973    62.3        159   3       0.593    18.999       19.573       0.559       
  smc2536   161   0.331112   0.261    0.126   0.006   0.004   -0.001   -2.612   1.805    9.9556    8.0897   14.834    0.0388   2.409938E-4    1      0.973   0.964    150.5       161   3       0.298    14.831       15.328       0.49400043  
  smc2538   145   0.385336   0.287    0.144   0.031   0.025   0.076    -2.654   0.602    9.7614    6.6586   19.133    0.2259   0.001557931    1      0.966   0.971    55.7        145   3       0.491    19.127       19.648       0.5150013   
  smc2552   160   0.358113   0.283    0.133   0.022   0.002   0.005    -3.03    1.093    9.5271    7.3617   18.627    0.2163   0.001351875    1      0.97    0.966    58.9        160   3       0.502    18.61        19.153       0.52599907  
  smc2559   166   0.405443   0.253    0.106   0.022   0.01    -0.006   -3.089   1.405    9.489     7.7057   16.334    0.1777   0.001070482    1      0.971   0.95     65.4        166   3       0.419    16.335       16.98        0.6459999   
  smc2565   150   0.354217   0.266    0.128   0.018   0.01    -0.012   -2.767   1.61     9.8228    7.9281   17.414    0.0671   4.4733335E-4   1      0.962   0.957    107.3       150   3       0.359    17.402       17.931       0.5170002   
  smc2568   176   0.306029   0.293    0.145   0.025   0.012   0.002    -3.122   0.379    9.4412    6.6572   16.884    0.0497   2.8238635E-4   1      0.965   0.97     165.5       176   5       0.377    16.875       17.242       0.3579998   
  smc2572   183   0.304272   0.422    0.188   0.056   0.018   0.02     2.819    -0.963   9.0619    5.2593   18.79     0.2727   0.001490164    1      0.965   0.978    88.4        183   3       0.694    18.769       19.143       0.35299873  
  smc2577   159   0.316088   0.32     0.145   0.045   0.005   0.019    3.018    0.603    9.2625    6.8279   19.229    0.4755   0.002990566    1      0.963   0.967    40.7        159   3       0.712    19.198       19.577       0.34799957  
  smc2584   183   0.291703   0.248    0.12    0.022   0.007   0.006    -3.026   0.927    9.5272    7.1907   15.763    0.0349   1.9071037E-4   1      0.968   0.952    174.7       183   5       0.301    15.76        16.102       0.33899975  
  smc2589   182   0.379885   0.286    0.139   0.023   0.009   0.003    -2.956   0.801    9.6041    7.0748   16.735    0.0376   2.0659341E-4   1      0.976   0.969    196.6       182   4       0.373    16.733       17.183       0.44799995  
  smc2594   156   0.394588   0.23     0.112   0.003   0.006   0.013    -1.196   0.936    5.0616    7.1811   13.489    0.0268   1.7179486E-4   1      0.967   0.969    164.9       156   3       0.28     13.486       13.995       0.50599957  
  smc2600   83    0.289108   0.393    0.19    0.034   0.011   -0.012   3.119    -0.304   9.4259    6.0148   17.014    0.0305   3.6746988E-4   1      0.955   0.951    145.4       83    4       0.432    17.003       17.195       0.18099976  
  smc2603   184   0.302355   0.309    0.157   0.028   0.017   -0.002   -3.097   -0.033   9.4725    6.2544   14.038    0.0098   5.3260872E-5   1      0.977   0.977    446.8       184   5       0.335    14.031       14.452       0.41399956  
  smc2610   182   0.377622   0.34     0.154   0.032   0.015   -0.086   2.372    -1.042   8.8261    5.4979   19.096    0.4208   0.002312088    1      0.965   0.961    53.2        182   3       0.681    19.071       19.595       0.49899864  
  smc2621   180   0.326347   0.244    0.117   0.019   0.01    0.009    2.885    0.008    9.1504    6.2651   12.384    0.0492   2.7333334E-4   1      0.981   0.981    142.4       180   4       0.314    12.381       12.793       0.4090004   
  smc2628   183   0.371426   0.316    0.151   0.027   0.019   0.024    -2.939   0.07     9.58      6.2824   19.305    0.3514   0.0019202185   1      0.974   0.974    59.0        183   3       0.598    19.284       19.718       0.4130001   
  smc2629   180   0.405362   0.278    0.144   0.013   0.014   -0.016   -2.536   0.575    10.0619   6.9055   15.253    0.1092   6.0666667E-4   1      0.961   0.963    102.8       180   3       0.359    15.253       15.706       0.45300007  
  smc2630   184   0.368617   0.28     0.132   0.02    0.022   0.03     -2.791   -0.046   9.7144    6.1458   19.141    0.3129   0.0017005436   1      0.971   0.976    57.1        184   3       0.549    19.128       19.636       0.49499893  
  smc2632   178   0.316089   0.351    0.167   0.045   0.018   -0.003   3.127    -0.513   9.4168    5.78     15.622    0.0201   1.1292134E-4   1      0.975   0.973    326.2       178   5       0.384    15.614       15.975       0.35300064  
  smc2634   178   0.368674   0.249    0.117   0.013   0.009   -0.042   -2.254   1.958    10.3967   8.368    16.818    0.159    8.932584E-4    1      0.967   0.973    73.3        178   3       0.355    16.807       17.256       0.43799973  
  smc2645   130   0.320116   0.378    0.164   0.052   0.013   0.008    3.01     -0.808   9.2775    5.4525   17.373    0.0953   7.330769E-4    1      0.938   0.955    110.3       130   5       0.501    17.355       17.826       0.45300102  
  smc2652   177   0.368163   0.336    0.149   0.028   0.024   -0.056   3.093    0.284    9.488     6.7346   19.085    0.2836   0.0016022599   1      0.951   0.972    67.7        177   4       0.643    19.064       19.575       0.49000168  
  smc2653   157   0.386905   0.355    0.167   0.043   0.016   0.007    3.018    -0.265   9.2878    5.9971   18.784    0.1911   0.0012171975   1      0.965   0.97     81.5        157   4       0.529    18.765       19.232       0.44799995  
  smc2658   55    0.286249   0.354    0.15    0.039   0.007   0.0      -3.11    0.367    9.4564    6.6498   16.634    0.021    3.818182E-4    1      0.921   0.929    106.8       55    3       0.375    16.628       ""           ""          
  smc2666   156   0.313626   0.332    0.167   0.026   0.008   0.013    3.092    0.362    9.3491    6.6057   19.524    0.3132   0.0020076924   1      0.947   0.949    54.0        156   3       0.638    19.511       19.931       0.4069996   
  smc2672   180   0.374078   0.296    0.149   0.029   0.011   -0.001   -3.006   -0.169   9.5627    6.1177   16.817    0.0238   1.3222222E-4   1      0.946   0.968    246.2       180   4       0.354    16.812       17.248       0.43099976  
  smc2678   180   0.375307   0.263    0.129   0.012   0.004   0.001    -2.854   1.32     9.7108    7.6004   15.585    0.0335   1.8611111E-4   1      0.973   0.97     185.2       180   3       0.311    15.582       16.025       0.43999958  
  smc2702   180   0.274804   0.286    0.144   0.031   0.011   0.024    -3.007   -0.276   9.5111    5.9349   14.504    0.0646   3.5888888E-4   1      0.974   0.972    137.3       180   5       0.336    14.501       14.81        0.3060007   
  smc2710   179   0.346907   0.271    0.126   0.01    0.014   -0.006   -2.867   1.674    9.7116    7.9754   16.935    0.1762   9.843576E-4    1      0.968   0.975    78.5        179   3       0.37     16.929       17.355       0.42000008  
  smc2714   179   0.362327   0.269    0.116   0.018   0.012   0.025    -2.693   1.741    9.8243    7.951    19.184    0.295    0.0016480446   1      0.962   0.973    52.3        179   3       0.515    19.175       19.648       0.4640007   
  smc2716   479   0.353843   0.288    0.142   0.027   0.008   -0.02    -2.714   0.385    9.8926    6.7285   19.098    0.7009   0.0014632568   1      0.986   0.989    102.8       479   3       0.562    19.087       19.58        0.48200035  
  smc2720   179   0.360954   0.298    0.142   0.023   0.013   -0.039   -2.838   1.032    9.8059    7.4304   19.258    0.3714   0.0020748603   1      0.978   0.977    51.1        179   3       0.724    19.242       19.685       0.42700005  
  smc2723   179   0.349578   0.348    0.156   0.031   0.028   -0.027   2.892    -0.161   9.2291    6.2026   19.118    0.3965   0.0022150837   1      0.964   0.976    57.5        179   3       0.672    19.084       19.558       0.44000053  
  smc2736   182   0.37481    0.309    0.149   0.017   0.011   0.006    -1.673   1.441    10.8805   7.7049   18.866    0.2319   0.0012741758   1      0.974   0.972    74.0        182   3       0.601    18.848       19.304       0.43800163  
  smc2744   181   0.389505   0.267    0.125   0.016   0.007   0.003    3.13     -0.946   9.4085    5.3298   15.661    0.1846   0.0010198895   1      0.955   0.966    76.8        181   3       0.355    15.654       16.167       0.50599957  
  smc2751   178   0.317257   0.357    0.163   0.04    0.014   -0.004   3.084    -0.128   9.3749    6.166    19.42     0.4173   0.002344382    1      0.972   0.967    57.8        178   3       0.573    19.388       19.885       0.46500015  
  smc2760   164   0.379998   0.263    0.13    0.02    0.009   -0.016   -2.395   -0.331   10.2044   6.0008   18.969    0.2351   0.0014335366   1      0.971   0.975    55.1        164   3       0.473    18.957       19.494       0.5249996   
  smc2783   161   0.337228   0.238    0.117   0.013   0.006   -0.011   -2.93    1.038    9.6582    7.3549   16.005    0.0248   1.5403728E-4   1      0.938   0.952    174.6       161   3       0.287    16.002       16.467       0.4619999   
  smc2792   168   0.333363   0.254    0.125   0.012   0.008   -0.003   -2.885   0.641    9.6868    6.9326   16.929    0.0442   2.6309522E-4   1      0.967   0.964    148.5       168   3       0.349    16.923       17.415       0.48600006  
  smc2797   359   0.290985   0.333    0.152   0.04    0.019   0.032    2.859    -0.701   9.079     5.4868   19.305    0.8498   0.002367131    1      0.982   0.978    72.9        359   3       0.694    19.273       19.562       0.25699997  
  smc2820   178   0.292981   0.241    0.12    0.007   0.015   -0.025   2.406    -0.052   8.7394    6.3063   18.849    0.2149   0.0012073034   1      0.973   0.973    60.7        178   3       0.495    18.835       19.162       0.31299973  
  smc2830   284   0.373097   0.332    0.158   0.04    0.021   0.025    2.748    -0.669   8.9802    5.5384   19.224    0.8661   0.003049648    1      0.973   0.982    51.3        284   3       0.811    19.204       19.779       0.5549984   
  smc2837   494   0.419195   0.21     0.1     0.009   0.001   0.023    -1.393   -1.495   4.8436    4.7194   19.028    0.9326   0.0018878543   1      0.991   0.985    62.8        494   3       0.569    19.016       19.502       0.47400093  
  smc2845   153   0.343972   0.249    0.109   0.019   0.009   -0.091   -2.899   0.054    9.8492    6.6095   16.918    0.1721   0.0011248365   1      0.968   0.97     53.0        153   3       0.395    16.909       17.41        0.49200058  
  smc2846   493   0.378481   0.283    0.143   0.019   0.018   -0.006   -2.93    0.681    9.6484    6.9817   18.942    0.5943   0.0012054766   1      0.989   0.988    115.0       493   3       0.546    18.931       19.38        0.43799973  
  smc2864   499   0.363738   0.271    0.136   0.023   0.011   0.001    -3.107   0.258    9.4568    6.5379   17.041    0.1068   2.1402806E-4   1      0.985   0.983    293.1       499   4       0.363    17.036       17.474       0.43300056  
  smc2866   496   0.365084   0.268    0.135   0.017   0.01    -0.007   -2.599   0.664    9.9821    6.9697   18.935    0.6428   0.0012959677   1      0.986   0.987    104.2       496   3       0.546    18.923       19.392       0.45700073  
  smc2874   494   0.350403   0.316    0.157   0.028   0.024   0.003    3.045    -0.92    9.3222    5.3542   19.48     1.2531   0.0025366398   1      0.988   0.988    73.8        494   3       0.83     19.458       19.943       0.46300125  
  smc2881   482   0.368074   0.257    0.116   0.018   0.003   -0.002   -2.987   1.285    9.5837    7.5748   16.827    0.7354   0.0015257262   1      0.985   0.987    75.9        482   3       0.373    16.818       17.333       0.5060005   
