# name                instrument feh0  e_feh0 feh1  e_feh1 feh                 e_feh source         shift  solar_scale  RA                 DEC                   type    ogleid   monson_id ID_ASAS       use    use_id        keep oo_class Nep  period   totamp A1    A2    A3    A1_e  A2_e  A3_e  phi1   phi2  phi3   phi1_e phi2_e phi3_e phi21  phi21_e phi31 phi31_e meanmag meanmag_e cost   phcov phcov2 snr    Npt  order minmax
  KIC-9453114         CFHT       ""    ""     -2.13 0.12   -2.13               0.12  Nemec2013      -0.09  Asplund2009  285.9604746611899  46.02887318124963     RRc     NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  ASAS-J200431-5352.3 duPont     -2.67 0.1    -2.7  0.15   -2.684999942779541  0.053 Govea2014      0.16   NaN          301.13076249999995 -53.871720833333335   RRc-BL  NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  ASAS-J200431-5352.3 duPont     -2.75 0.2    -2.76 0.13   -2.755000114440918  0.053 Govea2014      0.16   NaN          301.13076249999995 -53.871720833333335   RRc-BL  NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  RR_Lyr              Palomar    -1.36 0.13   -1.36 0.13   -1.36               0.1   Clementini1995 -0.138 Asplund2009  291.36630125       42.78435833333333     RRab-BL NaN      RRLyr     NaN           monson RRLyr         1.0  1.0      1304 0.566782 0.553  0.195 0.087 0.065 0.002 0.002 0.002 0.012  2.801 -0.345 0.008  0.02   0.027  9.0607 0.027   5.903 0.035   7.214   0.001     0.321  0.978 0.834  867.4  1304 8     0.738  
  ASAS-J200431-5352.3 duPont     -2.67 0.16   -2.77 0.2    -2.7200000286102295 0.053 Govea2014      0.16   NaN          301.13076249999995 -53.871720833333335   RRc-BL  NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  ASAS-J200431-5352.3 duPont     -2.63 0.1    -2.64 0.19   -2.635000228881836  0.053 Govea2014      0.16   NaN          301.13076249999995 -53.871720833333335   RRc-BL  NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  ASAS-J200431-5352.3 duPont     -2.73 0.15   -2.77 0.08   -2.75               0.053 Govea2014      0.16   NaN          301.13076249999995 -53.871720833333335   RRc-BL  NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  ASAS-J162158+0244.5 duPont     -1.77 0.25   -1.83 0.16   -1.7999999523162842 0.053 Govea2014      0.16   NaN          245.49166666666667 2.7416666666666667    RRc-BL  NaN      NaN       162158+0244.5 asas   162158+0244.5 1.0  ""       285  0.323811 0.186  0.084 0.008 0.003 0.005 0.004 0.003 0.019  1.171 1.493  0.053  1.152  1.243  7.4172 1.1895  7.72  1.234   12.377  0.003     0.7864 0.973 0.978  32.6   285  3     0.599  
  ASAS-J200431-5352.3 duPont     -2.67 0.13   -2.71 0.15   -2.690000057220459  0.053 Govea2014      0.16   NaN          301.13076249999995 -53.871720833333335   RRc-BL  NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  ASAS-J200431-5352.3 duPont     -2.75 0.16   -2.76 0.38   -2.755000114440918  0.053 Govea2014      0.16   NaN          301.13076249999995 -53.871720833333335   RRc-BL  NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  ASAS-J200431-5352.3 duPont     -2.74 0.23   -2.74 0.09   -2.740000009536743  0.053 Govea2014      0.16   NaN          301.13076249999995 -53.871720833333335   RRc-BL  NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  ASAS-J200431-5352.3 duPont     -2.78 0.31   -2.76 0.31   -2.7699999809265137 0.053 Govea2014      0.16   NaN          301.13076249999995 -53.871720833333335   RRc-BL  NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  V_Ind               FEROS      -1.56 0.09   -1.59 0.05   -1.5750000476837158 0.194 Pancino2015    -0.259 Grevesse1998 317.8745916666666  -45.07455305555556    RRab    NaN      NaN       211130-4504.5 asas   211130-4504.5 1.0  1.0      189  0.479601 0.702  0.239 0.109 0.081 0.002 0.002 0.002 -0.001 2.632 -0.741 0.009  0.021  0.027  8.9178 0.0291  5.546 0.039   9.501   0.001     0.0231 0.967 0.978  622.7  189  8     0.703  
  ASAS-J211933-1507.0 duPont     -1.48 0.21   -1.45 0.21   -1.465000033378601  0.053 Govea2014      0.16   NaN          319.88505416666663 -15.116984444444444   RRc-BL  NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  ASAS-J211933-1507.0 duPont     -1.53 0.18   -1.5  0.22   -1.5149999856948853 0.053 Govea2014      0.16   NaN          319.88505416666663 -15.116984444444444   RRc-BL  NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  ASAS-J211933-1507.0 duPont     -1.53 0.27   -1.49 0.23   -1.5099999904632568 0.053 Govea2014      0.16   NaN          319.88505416666663 -15.116984444444444   RRc-BL  NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  ASAS-J211933-1507.0 duPont     -1.49 0.16   -1.44 0.19   -1.465000033378601  0.053 Govea2014      0.16   NaN          319.88505416666663 -15.116984444444444   RRc-BL  NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  SW_Dra              McDonald   -1.37 0.15   -1.28 0.15   -1.28               0.15  Fernley1996    0.001  Grevesse1993 184.4442858333333  69.51062055555556     RRab    NaN      SWDra     NaN           monson SWDra         1.0  1.0      265  0.56967  0.628  0.204 0.103 0.071 0.003 0.003 0.002 0.002  2.892 -0.345 0.009  0.023  0.037  9.1714 0.0228  5.932 0.049   9.991   0.002     0.0157 0.898 0.736  938.1  265  8     0.603  
  ASAS-J211933-1507.0 duPont     -1.54 0.14   -1.48 0.25   -1.5099999904632568 0.053 Govea2014      0.16   NaN          319.88505416666663 -15.116984444444444   RRc-BL  NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  BK_Eri              UVES-4     -1.85 0.11   -1.84 0.07   -1.8450000286102295 0.124 Pancino2015    -0.259 Grevesse1998 42.482718333333324 -1.4200294444444446   RRab    NaN      NaN       024956-0125.2 asas   024956-0125.2 1.0  1.0      139  0.548133 0.476  0.201 0.071 0.021 0.013 0.014 0.012 0.005  2.933 -0.909 0.066  0.205  0.875  9.2062 0.2499  5.359 0.905   12.122  0.011     0.3526 0.932 0.964  62.2   139  3     0.725  
  ASAS-J211933-1507.0 duPont     -1.53 0.17   -1.45 0.24   -1.4900000095367432 0.053 Govea2014      0.16   NaN          319.88505416666663 -15.116984444444444   RRc-BL  NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  ASAS-J211933-1507.0 duPont     -1.52 0.13   -1.49 0.25   -1.5049999952316284 0.053 Govea2014      0.16   NaN          319.88505416666663 -15.116984444444444   RRc-BL  NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  U_Com               SARG-1     -1.44 0.14   -1.43 0.16   -1.434999942779541  0.088 Pancino2015    -0.259 Grevesse1998 190.01330916666663 27.498925555555555    RRc     NaN      NaN       124003+2729.9 asas   124003+2729.9 1.0  ""       109  0.292738 0.303  0.147 0.029 0.007 0.003 0.003 0.003 0.005  3.593 0.759  0.018  0.096  0.389  9.8673 0.0984  7.029 0.392   11.318  0.002     0.0901 0.96  0.959  77.5   109  4     0.416  
  ASAS-J230659-4354.6 duPont     -1.78 0.21   -1.8  0.21   -1.7899999618530273 0.053 Govea2014      0.16   NaN          346.74432541666664 -43.91068555555555    RRc-BL  NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  ASAS-J230659-4354.6 duPont     -1.78 0.33   -1.8  0.34   -1.7899999618530273 0.053 Govea2014      0.16   NaN          346.74432541666664 -43.91068555555555    RRc-BL  NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  ASAS-J230659-4354.6 duPont     -1.88 0.12   -1.88 0.25   -1.8799999952316284 0.053 Govea2014      0.16   NaN          346.74432541666664 -43.91068555555555    RRc-BL  NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  ASAS-J230659-4354.6 duPont     -1.85 0.29   -1.85 0.35   -1.850000023841858  0.053 Govea2014      0.16   NaN          346.74432541666664 -43.91068555555555    RRc-BL  NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  ASAS-J230659-4354.6 duPont     -1.83 0.28   -1.82 0.36   -1.8250000476837158 0.053 Govea2014      0.16   NaN          346.74432541666664 -43.91068555555555    RRc-BL  NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  ASAS-J230659-4354.6 duPont     -1.78 0.31   -1.85 0.25   -1.815000057220459  0.053 Govea2014      0.16   NaN          346.74432541666664 -43.91068555555555    RRc-BL  NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  V_Ind               HARPS      -1.34 0.19   -1.39 0.17   -1.3650000095367432 0.11  Pancino2015    -0.259 Grevesse1998 317.8745916666666  -45.07455305555556    RRab    NaN      NaN       211130-4504.5 asas   211130-4504.5 1.0  1.0      189  0.479601 0.702  0.239 0.109 0.081 0.002 0.002 0.002 -0.001 2.632 -0.741 0.009  0.021  0.027  8.9178 0.0291  5.546 0.039   9.501   0.001     0.0231 0.967 0.978  622.7  189  8     0.703  
  ASAS-J230659-4354.6 duPont     -1.81 0.24   -1.86 0.21   -1.8350000381469727 0.053 Govea2014      0.16   NaN          346.74432541666664 -43.91068555555555    RRc-BL  NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  ASAS-J230659-4354.6 duPont     -1.79 0.29   -1.83 0.28   -1.809999942779541  0.053 Govea2014      0.16   NaN          346.74432541666664 -43.91068555555555    RRc-BL  NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  ASAS-J230659-4354.6 duPont     -1.8  0.23   -1.84 0.28   -1.8199999332427979 0.053 Govea2014      0.16   NaN          346.74432541666664 -43.91068555555555    RRc-BL  NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  ASAS-J230659-4354.6 duPont     -1.85 0.23   -1.82 0.24   -1.8350000381469727 0.053 Govea2014      0.16   NaN          346.74432541666664 -43.91068555555555    RRc-BL  NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  ASAS-J081933-2358.2 duPont     -2.81 0.28   -2.81 0.32   -2.809999942779541  0.053 Govea2014      0.16   NaN          124.88688583333332 -23.969398888888886   RRc-BL  NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  RR_Lyr              Keck       -1.27 0.22   -1.27 0.09   -1.27               0.12  Nemec2013      -0.09  Asplund2009  291.36630125       42.78435833333333     RRab-BL NaN      RRLyr     NaN           monson RRLyr         1.0  1.0      1304 0.566782 0.553  0.195 0.087 0.065 0.002 0.002 0.002 0.012  2.801 -0.345 0.008  0.02   0.027  9.0607 0.027   5.903 0.035   7.214   0.001     0.321  0.978 0.834  867.4  1304 8     0.738  
  ASAS-J081933-2358.2 duPont     -2.78 0.09   -2.84 0.1    -2.809999942779541  0.053 Govea2014      0.16   NaN          124.88688583333332 -23.969398888888886   RRc-BL  NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  VY_Ser              Keck       -1.73 0.12   -1.69 0.08   -1.71               0.07  Nemec2013      -0.09  Asplund2009  232.75802875       1.6838230555555556    RRab    NaN      NaN       153102+0141.0 asas   153102+0141.0 1.0  2.0      242  0.714097 0.44   0.155 0.075 0.044 0.002 0.002 0.002 0.002  3.099 0.109  0.013  0.026  0.042  9.3779 0.0353  6.386 0.056   9.533   0.001     0.0226 0.984 0.98   485.8  242  8     0.487  
  ASAS-J081933-2358.2 duPont     -3.07 0.14   -3.08 0.09   -3.0749998092651367 0.053 Govea2014      0.16   NaN          124.88688583333332 -23.969398888888886   RRc-BL  NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  ASAS-J085254-0300.3 duPont     -1.54 0.19   -1.51 0.19   -1.524999976158142  0.053 Govea2014      0.16   NaN          133.225            -3.005                RRc-BL  NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  ASAS-J162158+0244.5 duPont     -1.79 0.21   -1.85 0.19   -1.8199999332427979 0.053 Govea2014      0.16   NaN          245.49166666666667 2.7416666666666667    RRc-BL  NaN      NaN       162158+0244.5 asas   162158+0244.5 1.0  ""       285  0.323811 0.186  0.084 0.008 0.003 0.005 0.004 0.003 0.019  1.171 1.493  0.053  1.152  1.243  7.4172 1.1895  7.72  1.234   12.377  0.003     0.7864 0.973 0.978  32.6   285  3     0.599  
  ASAS-J085254-0300.3 duPont     -1.53 0.26   -1.55 0.26   -1.5399999618530273 0.053 Govea2014      0.16   NaN          133.225            -3.005                RRc-BL  NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  ASAS-J085254-0300.3 duPont     -1.52 0.31   -1.52 0.31   -1.5199999809265137 0.053 Govea2014      0.16   NaN          133.225            -3.005                RRc-BL  NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  ASAS-J090900-0410.4 duPont     -1.84 0.25   -1.78 0.33   -1.809999942779541  0.053 Govea2014      0.16   NaN          137.25038833333332 -4.173501666666667    RRc-BL  NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  ASAS-J090900-0410.4 duPont     -1.79 0.33   -1.8  0.34   -1.7949999570846558 0.053 Govea2014      0.16   NaN          137.25038833333332 -4.173501666666667    RRc-BL  NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  V_Ind               HARPS      -1.23 0.25   -1.25 0.14   -1.2400000095367432 0.11  Pancino2015    -0.259 Grevesse1998 317.8745916666666  -45.07455305555556    RRab    NaN      NaN       211130-4504.5 asas   211130-4504.5 1.0  1.0      189  0.479601 0.702  0.239 0.109 0.081 0.002 0.002 0.002 -0.001 2.632 -0.741 0.009  0.021  0.027  8.9178 0.0291  5.546 0.039   9.501   0.001     0.0231 0.967 0.978  622.7  189  8     0.703  
  ASAS-J090900-0410.4 duPont     -1.75 0.31   -1.78 0.29   -1.7649999856948853 0.053 Govea2014      0.16   NaN          137.25038833333332 -4.173501666666667    RRc-BL  NaN      NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  TU_UMa              McDonald   -1.72 0.15   -1.57 0.15   -1.57               0.15  Fernley1996    0.001  Grevesse1993 172.45203999999995 30.067327777777777    RRab    NaN      TUUMa     NaN           monson TUUMa         1.0  1.0      368  0.557659 0.617  0.202 0.103 0.075 0.003 0.002 0.002 -0.0   2.705 -0.606 0.01   0.029  0.04   8.9884 0.0398  5.678 0.045   9.332   0.002     0.0444 0.902 0.827  748.4  368  8     0.633  
  BK_Eri              UVES-2     -1.54 0.12   -1.52 0.07   -1.5299999713897705 0.124 Pancino2015    -0.259 Grevesse1998 42.482718333333324 -1.4200294444444446   RRab    NaN      NaN       024956-0125.2 asas   024956-0125.2 1.0  1.0      139  0.548133 0.476  0.201 0.071 0.021 0.013 0.014 0.012 0.005  2.933 -0.909 0.066  0.205  0.875  9.2062 0.2499  5.359 0.905   12.122  0.011     0.3526 0.932 0.964  62.2   139  3     0.725  
  U_Com               SARG-2     -1.38 0.16   -1.41 0.1    -1.3949999809265137 0.088 Pancino2015    -0.259 Grevesse1998 190.01330916666663 27.498925555555555    RRc     NaN      NaN       124003+2729.9 asas   124003+2729.9 1.0  ""       109  0.292738 0.303  0.147 0.029 0.007 0.003 0.003 0.003 0.005  3.593 0.759  0.018  0.096  0.389  9.8673 0.0984  7.029 0.392   11.318  0.002     0.0901 0.96  0.959  77.5   109  4     0.416  
  V_Ind               FEROS      -1.2  0.23   -1.19 0.04   -1.1950000524520874 0.194 Pancino2015    -0.259 Grevesse1998 317.8745916666666  -45.07455305555556    RRab    NaN      NaN       211130-4504.5 asas   211130-4504.5 1.0  1.0      189  0.479601 0.702  0.239 0.109 0.081 0.002 0.002 0.002 -0.001 2.632 -0.741 0.009  0.021  0.027  8.9178 0.0291  5.546 0.039   9.501   0.001     0.0231 0.967 0.978  622.7  189  8     0.703  
  RV_UMa              SARG-3     -1.13 0.13   -1.2  0.12   -1.1649999618530273 0.088 Pancino2015    -0.259 Grevesse1998 203.32534958333332 53.98738888888889     RRab-BL NaN      RVUMa     NaN           monson RVUMa         1.0  1.0      333  0.46806  0.565  0.261 0.091 0.032 0.002 0.002 0.002 0.003  2.504 -1.165 0.006  0.019  0.051  8.7805 0.0232  5.108 0.056   10.365  0.001     0.2806 0.963 0.834  235.3  333  7     0.723  
  VY_Ser              McDonald   -2.0  0.15   -1.9  0.15   -1.9                0.15  Fernley1996    0.001  Grevesse1993 232.75802875       1.6838230555555556    RRab    NaN      NaN       153102+0141.0 asas   153102+0141.0 1.0  2.0      242  0.714097 0.44   0.155 0.075 0.044 0.002 0.002 0.002 0.002  3.099 0.109  0.013  0.026  0.042  9.3779 0.0353  6.386 0.056   9.533   0.001     0.0226 0.984 0.98   485.8  242  8     0.487  
  V_Ind               HARPS      -1.25 0.09   -1.24 0.13   -1.2450000047683716 0.11  Pancino2015    -0.259 Grevesse1998 317.8745916666666  -45.07455305555556    RRab    NaN      NaN       211130-4504.5 asas   211130-4504.5 1.0  1.0      189  0.479601 0.702  0.239 0.109 0.081 0.002 0.002 0.002 -0.001 2.632 -0.741 0.009  0.021  0.027  8.9178 0.0291  5.546 0.039   9.501   0.001     0.0231 0.967 0.978  622.7  189  8     0.703  
  LMC-RR177           MagE       -2.67 0.33   -2.5  0.48   -2.5850000381469727 0.2   Haschke2012    0.0    Anders&Gr89  68.88816666666666  -68.20716666666665    RRab    lmc00177 NaN       NaN           ogle   lmc00177      0.0  2.0      ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  LMC-RR1422          MagE       -2.49 0.32   -2.23 0.31   -2.3600001335144043 0.2   Haschke2012    0.0    Anders&Gr89  72.97595833333334  -66.97947222222223    RRab    lmc01422 NaN       NaN           ogle   lmc01422      0.0  1.0      ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  V_Ind               UVES-2     -1.43 0.07   -1.41 0.07   -1.4199999570846558 0.124 Pancino2015    -0.259 Grevesse1998 317.8745916666666  -45.07455305555556    RRab    NaN      NaN       211130-4504.5 asas   211130-4504.5 1.0  1.0      189  0.479601 0.702  0.239 0.109 0.081 0.002 0.002 0.002 -0.001 2.632 -0.741 0.009  0.021  0.027  8.9178 0.0291  5.546 0.039   9.501   0.001     0.0231 0.967 0.978  622.7  189  8     0.703  
  LMC-RR8645          MagE       -1.97 0.26   -1.94 0.41   -1.9550000429153442 0.2   Haschke2012    0.0    Anders&Gr89  78.67725           -68.99080555555555    RRab    lmc08645 NaN       NaN           ogle   lmc08645      0.0  1.0      ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  LMC-RR11371         MagE       -2.18 0.24   -2.16 0.48   -2.1700000762939453 0.2   Haschke2012    0.0    Anders&Gr89  79.86533333333334  -71.34583333333333    RRab    lmc11371 NaN       NaN           ogle   lmc11371      0.0  1.0      ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  LMC-RR15903         MagE       -2.24 0.26   -2.32 0.24   -2.2799999713897705 0.2   Haschke2012    0.0    Anders&Gr89  81.82820833333334  -69.53958333333333    RRab    lmc15903 NaN       NaN           ogle   lmc15903      0.0  2.0      ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  TU_UMa              SARG-1     -1.31 0.14   -1.32 0.15   -1.315000057220459  0.088 Pancino2015    -0.259 Grevesse1998 172.45203999999995 30.067327777777777    RRab    NaN      TUUMa     NaN           monson TUUMa         1.0  1.0      368  0.557659 0.617  0.202 0.103 0.075 0.003 0.002 0.002 -0.0   2.705 -0.606 0.01   0.029  0.04   8.9884 0.0398  5.678 0.045   9.332   0.002     0.0444 0.902 0.827  748.4  368  8     0.633  
  LMC-RR22827         MagE       -2.5  0.24   -2.63 0.08   -2.565000057220459  0.2   Haschke2012    0.0    Anders&Gr89  86.66925           -69.74058333333333    RRab    lmc22827 NaN       NaN           ogle   lmc22827      0.0  1.0      ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  X_Ari               Palomar    -2.46 0.13   -2.48 0.13   -2.47               0.1   Clementini1995 -0.138 Asplund2009  47.128685          10.445894722222222    RRab    NaN      NaN       030831+1026.8 asas   030831+1026.8 1.0  2.0      131  0.65117  0.638  0.207 0.1   0.077 0.002 0.002 0.002 0.003  2.626 -0.715 0.007  0.016  0.02   8.9041 0.0197  5.56  0.031   8.849   0.001     0.0058 0.972 0.957  749.0  131  8     0.644  
  SMC-RR50180         MagE       -2.36 0.33   -2.02 0.34   -2.190000057220459  0.2   Haschke2012    0.0    Anders&Gr89  10.782416666666665 -72.82280555555555    RRab    smc0693  NaN       NaN           ogle   smc0693       0.0  1.0      ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  SMC-RR122432        MagE       -2.36 0.12   -2.31 0.47   -2.3350000381469727 0.2   Haschke2012    0.0    Anders&Gr89  11.916583333333332 -73.14527777777778    RRab    smc0911  NaN       NaN           ogle   smc0911       0.0  1.0      ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  ASAS-J110522-2641.0 duPont     -1.83 0.26   -1.81 0.24   -1.8199999332427979 0.053 Govea2014      0.16   NaN          166.34134041666667 -26.684565555555555   RRc-BL  NaN      NaN       110522-2641.0 asas   110522-2641.0 1.0  ""       314  0.294456 0.2    0.096 0.008 0.002 0.001 0.001 0.001 0.019  3.09  1.198  0.015  0.176  0.816  9.3348 0.1792  7.423 0.814   11.526  0.001     0.2568 0.984 0.986  83.4   314  3     0.359  
