# name     type    instrument  feh   e_feh source         shift  RA                 DEC                  monson_id ID_ASAS       use    use_id        keep oo_class Nep  period   totamp A1    A2    A3    A1_e  A2_e  A3_e  phi1   phi2  phi3   phi1_e phi2_e phi3_e phi21   phi21_e phi31 phi31_e meanmag meanmag_e cost   phcov phcov2 snr    Npt  order minmax
  TU_UMa   RRab    Palomar     -1.55 0.1   Lambert1996    -0.024 172.45203999999995 30.067327777777777   TUUMa     NaN           monson TUUMa         1.0  1.0      368  0.557659 0.617  0.202 0.103 0.075 0.003 0.002 0.002 -0.0   2.705 -0.606 0.01   0.029  0.04   8.9884  0.0398  5.678 0.045   9.332   0.002     0.0444 0.902 0.827  748.4  368  8     0.633 
  TV_Boo   RRc-BL  APO         -2.44 0.271 Andrievsky2018 -0.039 214.15242333333333 42.35992             TVBoo     NaN           monson TVBoo         1.0  ""       108  0.312538 0.398  0.171 0.059 0.02  0.002 0.001 0.002 0.008  2.755 -1.066 0.006  0.032  0.047  9.0222  0.0263  5.193 0.051   10.661  0.001     0.0065 0.832 0.742  389.9  108  5     0.42  
  TV_Lib   RRab    Subaru      -0.43 0.04  Liu2013        -0.19  229.59119708333333 -8.4618775           NaN       151822-0827.7 asas   151822-0827.7 1.0  1.0      228  0.269624 0.871  0.255 0.138 0.102 0.006 0.006 0.006 -0.007 2.503 -1.058 0.021  0.038  0.055  8.8009  0.0566  5.247 0.082   11.598  0.004     0.143  0.98  0.975  351.0  228  8     0.92  
  TW_Her   RRab    Subaru      -0.35 0.04  Liu2013        -0.19  268.6300016666666  30.41046638888889    TWHer     NaN           monson TWHer         1.0  1.0      341  0.3996   0.838  0.266 0.148 0.102 0.002 0.002 0.002 0.005  2.626 -0.682 0.006  0.012  0.018  8.9     0.0166  5.587 0.025   10.845  0.001     0.0432 0.941 0.888  1217.8 341  8     0.86  
  T_Sex    RRc     Palomar     -1.55 0.1   Lambert1996    -0.024 148.36833374999998 2.0573183333333334   NaN       095328+0203.5 asas   095328+0203.5 1.0  ""       279  0.324697 0.248  0.122 0.018 0.009 0.001 0.001 0.001 0.006  3.807 1.507  0.005  0.033  0.072  10.0772 0.0353  7.771 0.072   9.658   0.0       0.0335 0.982 0.985  271.9  279  5     0.312 
  UU_Cet   RRab-BL Subaru      -1.36 0.04  Liu2013        -0.19  1.0213516666666667 -16.99765111111111   NaN       000405-1659.8 asas   000405-1659.8 1.0  1.0      103  0.606079 0.412  0.143 0.067 0.048 0.005 0.005 0.005 0.001  2.964 -0.21  0.037  0.078  0.105  9.2451  0.1021  6.07  0.155   11.522  0.004     0.0412 0.956 0.935  148.9  103  4     0.471 
  UU_Vir   RRab    APO         -0.82 0.271 Andrievsky2018 -0.039 182.1461345833333  -0.45675083333333333 UUVir     120835-0027.4 monson UUVir         1.0  1.0      480  0.475608 0.742  0.234 0.13  0.084 0.002 0.002 0.002 -0.006 2.676 -0.583 0.008  0.01   0.023  8.9715  0.0184  5.72  0.039   10.139  0.001     0.0494 0.913 0.776  1139.5 480  8     0.759 
  UU_Vir   RRab    Palomar     -0.69 0.1   Lambert1996    -0.024 182.1461345833333  -0.45675083333333333 UUVir     120835-0027.4 monson UUVir         1.0  1.0      480  0.475608 0.742  0.234 0.13  0.084 0.002 0.002 0.002 -0.006 2.676 -0.583 0.008  0.01   0.023  8.9715  0.0184  5.72  0.039   10.139  0.001     0.0494 0.913 0.776  1139.5 480  8     0.759 
  UU_Vir   RRab    APO         -0.8  0.271 Andrievsky2018 -0.039 182.1461345833333  -0.45675083333333333 UUVir     120835-0027.4 monson UUVir         1.0  1.0      480  0.475608 0.742  0.234 0.13  0.084 0.002 0.002 0.002 -0.006 2.676 -0.583 0.008  0.01   0.023  8.9715  0.0184  5.72  0.039   10.139  0.001     0.0494 0.913 0.776  1139.5 480  8     0.759 
  V413_Oph RRab-BL Subaru      -0.75 0.04  Liu2013        -0.19  246.29626708333333 -10.523749722222224  NaN       162511-1031.4 asas   162511-1031.4 1.0  1.0      256  0.449    0.781  0.242 0.119 0.096 0.004 0.004 0.004 -0.0   2.602 -0.741 0.017  0.035  0.045  8.8865  0.0508  5.543 0.069   11.262  0.003     0.1309 0.972 0.981  376.1  256  8     0.84  
  V440_Sgr RRab    Subaru      -1.18 0.04  Liu2013        -0.19  293.08659416666666 -23.853543611111114  V0440Sgr  NaN           monson V0440Sgr      1.0  1.0      779  0.477479 0.814  0.26  0.125 0.099 0.001 0.001 0.001 0.003  2.524 -0.937 0.005  0.01   0.013  8.8019  0.0149  5.338 0.02    9.827   0.001     0.1136 0.99  0.802  1357.1 779  8     0.816 
  V445_Oph RRab-BL Subaru      0.14  0.04  Liu2013        -0.19  246.17173291666663 -6.541646111111111   NaN       162441-0632.5 asas   162441-0632.5 1.0  1.0      256  0.397023 0.463  0.166 0.084 0.046 0.002 0.002 0.002 0.007  3.031 -0.217 0.014  0.027  0.051  9.2994  0.0371  6.044 0.065   10.043  0.002     0.0449 0.977 0.968  397.4  256  5     0.49  
  V445_Oph RRab-BL Subaru      0.13  0.04  Liu2013        -0.19  246.17173291666663 -6.541646111111111   NaN       162441-0632.5 asas   162441-0632.5 1.0  1.0      256  0.397023 0.463  0.166 0.084 0.046 0.002 0.002 0.002 0.007  3.031 -0.217 0.014  0.027  0.051  9.2994  0.0371  6.044 0.065   10.043  0.002     0.0449 0.977 0.968  397.4  256  5     0.49  
  V455_Oph RRab    APO         -0.01 0.271 Andrievsky2018 -0.039 273.8271983333333  12.352357777777778   NaN       181518+1221.1 asas   181518+1221.1 1.0  1.0      152  0.453888 0.503  0.2   0.087 0.045 0.011 0.01  0.009 0.012  2.783 -0.324 0.05   0.114  0.253  9.0421  0.1539  5.923 0.298   11.688  0.007     0.249  0.965 0.95   91.3   152  5     0.758 
  V455_Oph RRab    APO         -0.91 0.271 Andrievsky2018 -0.039 273.8271983333333  12.352357777777778   NaN       181518+1221.1 asas   181518+1221.1 1.0  1.0      152  0.453888 0.503  0.2   0.087 0.045 0.011 0.01  0.009 0.012  2.783 -0.324 0.05   0.114  0.253  9.0421  0.1539  5.923 0.298   11.688  0.007     0.249  0.965 0.95   91.3   152  5     0.758 
  V455_Oph RRab    APO         0.0   0.271 Andrievsky2018 -0.039 273.8271983333333  12.352357777777778   NaN       181518+1221.1 asas   181518+1221.1 1.0  1.0      152  0.453888 0.503  0.2   0.087 0.045 0.011 0.01  0.009 0.012  2.783 -0.324 0.05   0.114  0.253  9.0421  0.1539  5.923 0.298   11.688  0.007     0.249  0.965 0.95   91.3   152  5     0.758 
  VX_Her   RRab    Subaru      -1.33 0.04  Liu2013        -0.19  247.6700108333333  18.366825277777778   VXHer     163041+1822.0 monson VXHer         1.0  1.0      262  0.455359 0.885  0.281 0.135 0.101 0.002 0.002 0.002 -0.003 2.434 -1.203 0.008  0.018  0.023  8.7219  0.0258  5.088 0.035   10.272  0.002     0.0292 0.959 0.833  984.3  262  8     0.874 
  VX_Her   RRab    APO         -1.34 0.271 Andrievsky2018 -0.039 247.6700108333333  18.366825277777778   VXHer     163041+1822.0 monson VXHer         1.0  1.0      262  0.455359 0.885  0.281 0.135 0.101 0.002 0.002 0.002 -0.003 2.434 -1.203 0.008  0.018  0.023  8.7219  0.0258  5.088 0.035   10.272  0.002     0.0292 0.959 0.833  984.3  262  8     0.874 
  VX_Her   RRab    APO         -1.1  0.271 Andrievsky2018 -0.039 247.6700108333333  18.366825277777778   VXHer     163041+1822.0 monson VXHer         1.0  1.0      262  0.455359 0.885  0.281 0.135 0.101 0.002 0.002 0.002 -0.003 2.434 -1.203 0.008  0.018  0.023  8.7219  0.0258  5.088 0.035   10.272  0.002     0.0292 0.959 0.833  984.3  262  8     0.874 
  VX_Her   RRab    APO         -1.87 0.271 Andrievsky2018 -0.039 247.6700108333333  18.366825277777778   VXHer     163041+1822.0 monson VXHer         0.0  1.0      262  0.455359 0.885  0.281 0.135 0.101 0.002 0.002 0.002 -0.003 2.434 -1.203 0.008  0.018  0.023  8.7219  0.0258  5.088 0.035   10.272  0.002     0.0292 0.959 0.833  984.3  262  8     0.874 
  VY_Ser   RRab    Subaru      -1.83 0.04  Liu2013        -0.19  232.75802875       1.6838230555555556   NaN       153102+0141.0 asas   153102+0141.0 1.0  2.0      242  0.714097 0.44   0.155 0.075 0.044 0.002 0.002 0.002 0.002  3.099 0.109  0.013  0.026  0.042  9.3779  0.0353  6.386 0.056   9.533   0.001     0.0226 0.984 0.98   485.8  242  8     0.487 
  VY_Ser   RRab    Subaru      -1.82 0.04  Liu2013        -0.19  232.75802875       1.6838230555555556   NaN       153102+0141.0 asas   153102+0141.0 1.0  2.0      242  0.714097 0.44   0.155 0.075 0.044 0.002 0.002 0.002 0.002  3.099 0.109  0.013  0.026  0.042  9.3779  0.0353  6.386 0.056   9.533   0.001     0.0226 0.984 0.98   485.8  242  8     0.487 
  VY_Ser   RRab    Subaru      -1.8  0.04  Liu2013        -0.19  232.75802875       1.6838230555555556   NaN       153102+0141.0 asas   153102+0141.0 1.0  2.0      242  0.714097 0.44   0.155 0.075 0.044 0.002 0.002 0.002 0.002  3.099 0.109  0.013  0.026  0.042  9.3779  0.0353  6.386 0.056   9.533   0.001     0.0226 0.984 0.98   485.8  242  8     0.487 
  VY_Ser   RRab    Palomar     -1.92 0.1   Lambert1996    -0.024 232.75802875       1.6838230555555556   NaN       153102+0141.0 asas   153102+0141.0 1.0  2.0      242  0.714097 0.44   0.155 0.075 0.044 0.002 0.002 0.002 0.002  3.099 0.109  0.013  0.026  0.042  9.3779  0.0353  6.386 0.056   9.533   0.001     0.0226 0.984 0.98   485.8  242  8     0.487 
  VY_Ser   RRab    Subaru      -1.85 0.04  Liu2013        -0.19  232.75802875       1.6838230555555556   NaN       153102+0141.0 asas   153102+0141.0 1.0  2.0      242  0.714097 0.44   0.155 0.075 0.044 0.002 0.002 0.002 0.002  3.099 0.109  0.013  0.026  0.042  9.3779  0.0353  6.386 0.056   9.533   0.001     0.0226 0.984 0.98   485.8  242  8     0.487 
  W_CVn    RRab    APO         -1.28 0.271 Andrievsky2018 -0.039 211.61658541666665 37.828183333333335   NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""      ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""    
  W_CVn    RRab    APO         -1.09 0.271 Andrievsky2018 -0.039 211.61658541666665 37.828183333333335   NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""      ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""    
  XZ_Cyg   RRab    APO         -2.18 0.271 Andrievsky2018 -0.039 293.12210583333336 56.388192777777775   NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""      ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""    
  XZ_Cyg   RRab    APO         -1.21 0.271 Andrievsky2018 -0.039 293.12210583333336 56.388192777777775   NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""      ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""    
  XZ_Cyg   RRab    APO         -1.45 0.271 Andrievsky2018 -0.039 293.12210583333336 56.388192777777775   NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""      ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""    
  XZ_Cyg   RRab    Palomar     -1.5  0.1   Lambert1996    -0.024 293.12210583333336 56.388192777777775   NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""      ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""    
  XZ_Dra   RRab    APO         -0.76 0.271 Andrievsky2018 -0.039 287.4275308333333  64.8589261111111     NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""      ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""    
  XZ_Dra   RRab    APO         -1.05 0.271 Andrievsky2018 -0.039 287.4275308333333  64.8589261111111     NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""      ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""    
  XZ_Dra   RRab    APO         -0.71 0.271 Andrievsky2018 -0.039 287.4275308333333  64.8589261111111     NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""      ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""    
  XZ_Dra   RRab    Palomar     -1.8  0.1   Lambert1996    -0.024 287.4275308333333  64.8589261111111     NaN       NaN           NaN    NaN           ""   ""       ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""      ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""    
  X_Ari    RRab    Palomar     -2.47 0.1   Lambert1996    -0.024 47.128685          10.445894722222222   NaN       030831+1026.8 asas   030831+1026.8 1.0  2.0      131  0.65117  0.638  0.207 0.1   0.077 0.002 0.002 0.002 0.003  2.626 -0.715 0.007  0.016  0.02   8.9041  0.0197  5.56  0.031   8.849   0.001     0.0058 0.972 0.957  749.0  131  8     0.644 
